cfg,seed,instance,pop,iteration,best_su,best_csr,best_placed
DGWO,1,350,30,361,82.4477,67.0000,100
DGWO,1,350,30,362,82.4477,67.0000,100
DGWO,1,350,30,363,82.4477,67.0000,100
DGWO,1,350,30,364,82.4477,67.0000,100
DGWO,1,350,30,365,82.4477,67.0000,100
DGWO,1,350,30,366,82.4477,67.0000,100
DGWO,1,350,30,367,82.4477,67.0000,100
DGWO,1,350,30,368,82.4477,67.0000,100
DGWO,1,350,30,369,82.4477,67.0000,100
DGWO,1,350,30,370,82.4477,67.0000,100
DGWO,1,350,30,371,82.4477,67.0000,100
DGWO,1,350,30,372,82.4477,67.0000,100
DGWO,1,350,30,373,82.4477,67.0000,100
DGWO,1,350,30,374,82.4477,67.0000,100
DGWO,1,350,30,375,82.4477,67.0000,100
DGWO,1,350,30,376,82.4477,67.0000,100
DGWO,1,350,30,377,82.4477,67.0000,100
DGWO,1,350,30,378,82.4477,67.0000,100
DGWO,1,350,30,379,82.4477,67.0000,100
DGWO,1,350,30,380,82.4477,67.0000,100
DGWO,1,350,30,381,82.4477,67.0000,100
DGWO,1,350,30,382,82.4477,67.0000,100
DGWO,1,350,30,383,82.4477,67.0000,100
DGWO,1,350,30,384,82.4477,67.0000,100
DGWO,1,350,30,385,82.4477,67.0000,100
DGWO,1,350,30,386,82.4477,67.0000,100
DGWO,1,350,30,387,82.4477,67.0000,100
DGWO,1,350,30,388,82.4477,67.0000,100
DGWO,1,350,30,389,82.4477,67.0000,100
DGWO,1,350,30,390,82.4477,67.0000,100
DGWO,1,350,30,391,82.4477,67.0000,100
DGWO,1,350,30,392,82.4477,67.0000,100
DGWO,1,350,30,393,82.4477,67.0000,100
DGWO,1,350,30,394,82.4477,67.0000,100
DGWO,1,350,30,395,82.4477,67.0000,100
DGWO,1,350,30,396,82.4477,67.0000,100
DGWO,1,350,30,397,82.4477,67.0000,100
DGWO,1,350,30,398,82.4477,67.0000,100
DGWO,1,350,30,399,82.4477,67.0000,100
DGWO,1,350,30,400,82.4477,67.0000,100
DGWO,1,350,30,401,82.4477,67.0000,100
DGWO,1,350,30,402,82.4477,67.0000,100
DGWO,1,350,30,403,82.4477,67.0000,100
DGWO,1,350,30,404,82.4477,67.0000,100
DGWO,1,350,30,405,82.4477,67.0000,100
DGWO,1,350,30,406,82.4477,67.0000,100
DGWO,1,350,30,407,82.4477,67.0000,100
DGWO,1,350,30,408,82.4477,67.0000,100
DGWO,1,350,30,409,82.4477,67.0000,100
DGWO,1,350,30,410,82.4477,67.0000,100
DGWO,1,350,30,411,82.4477,67.0000,100
DGWO,1,350,30,412,82.4477,67.0000,100
DGWO,1,350,30,413,82.4477,67.0000,100
DGWO,1,350,30,414,82.4477,67.0000,100
DGWO,1,350,30,415,82.4477,67.0000,100
DGWO,1,350,30,416,82.4477,67.0000,100
DGWO,1,350,30,417,82.4477,67.0000,100
DGWO,1,350,30,418,82.4477,67.0000,100
DGWO,1,350,30,419,82.4477,67.0000,100
DGWO,1,350,30,420,82.4477,67.0000,100
DGWO,1,350,30,421,82.4477,67.0000,100
DGWO,1,350,30,422,82.4477,67.0000,100
DGWO,1,350,30,423,82.4477,67.0000,100
DGWO,1,350,30,424,82.4477,67.0000,100
DGWO,1,350,30,425,82.4477,67.0000,100
DGWO,1,350,30,426,82.4477,67.0000,100
DGWO,1,350,30,427,82.4477,67.0000,100
DGWO,1,350,30,428,82.4477,67.0000,100
DGWO,1,350,30,429,82.4477,67.0000,100
DGWO,1,350,30,430,82.4477,67.0000,100
DGWO,1,350,30,431,82.4477,67.0000,100
DGWO,1,350,30,432,82.4477,67.0000,100
DGWO,1,350,30,433,82.4477,67.0000,100
DGWO,1,350,30,434,82.4477,67.0000,100
DGWO,1,350,30,435,82.4477,67.0000,100
DGWO,1,350,30,436,82.4477,67.0000,100
DGWO,1,350,30,437,82.4477,67.0000,100
DGWO,1,350,30,438,82.4477,67.0000,100
DGWO,1,350,30,439,82.4477,67.0000,100
DGWO,1,350,30,440,82.4477,67.0000,100
DGWO,1,350,30,441,82.4477,67.0000,100
DGWO,1,350,30,442,82.4477,67.0000,100
DGWO,1,350,30,443,82.4477,67.0000,100
DGWO,1,350,30,444,82.4477,67.0000,100
DGWO,1,350,30,445,82.4477,67.0000,100
DGWO,1,350,30,446,82.4477,67.0000,100
DGWO,1,350,30,447,82.4477,67.0000,100
DGWO,1,350,30,448,82.4477,67.0000,100
DGWO,1,350,30,449,82.4477,67.0000,100
DGWO,1,350,30,450,82.4477,67.0000,100
DGWO,1,350,30,451,82.4477,67.0000,100
DGWO,1,350,30,452,82.4477,67.0000,100
DGWO,1,350,30,453,82.4477,67.0000,100
DGWO,1,350,30,454,82.4477,67.0000,100
DGWO,1,350,30,455,82.4477,67.0000,100
DGWO,1,350,30,456,82.4477,67.0000,100
DGWO,1,350,30,457,82.4477,67.0000,100
DGWO,1,350,30,458,82.4477,67.0000,100
DGWO,1,350,30,459,82.4477,67.0000,100
DGWO,1,350,30,460,82.4477,67.0000,100
DGWO,1,350,30,461,82.4477,67.0000,100
DGWO,1,350,30,462,82.4477,67.0000,100
DGWO,1,350,30,463,82.4477,67.0000,100
DGWO,1,350,30,464,82.4477,67.0000,100
DGWO,1,350,30,465,82.4477,67.0000,100
DGWO,1,350,30,466,82.4477,67.0000,100
DGWO,1,350,30,467,82.4477,67.0000,100
DGWO,1,350,30,468,82.4477,67.0000,100
DGWO,1,350,30,469,82.4477,67.0000,100
DGWO,1,350,30,470,82.4477,67.0000,100
DGWO,1,350,30,471,82.4477,67.0000,100
DGWO,1,350,30,472,82.4477,67.0000,100
DGWO,1,350,30,473,82.4477,67.0000,100
DGWO,1,350,30,474,82.4477,67.0000,100
DGWO,1,350,30,475,82.4477,67.0000,100
DGWO,1,350,30,476,82.4477,67.0000,100
DGWO,1,350,30,477,82.4477,67.0000,100
DGWO,1,350,30,478,82.4477,67.0000,100
DGWO,1,350,30,479,82.4477,67.0000,100
DGWO,1,350,30,480,82.4477,67.0000,100
DGWO,1,350,30,481,82.4477,67.0000,100
DGWO,1,350,30,482,82.4477,67.0000,100
DGWO,1,350,30,483,82.4477,67.0000,100
DGWO,1,350,30,484,82.4477,67.0000,100
DGWO,1,350,30,485,82.4477,67.0000,100
DGWO,1,350,30,486,82.4477,67.0000,100
DGWO,1,350,30,487,82.4477,67.0000,100
DGWO,1,350,30,488,82.4477,67.0000,100
DGWO,1,350,30,489,82.4477,67.0000,100
DGWO,1,350,30,490,82.4477,67.0000,100
DGWO,1,350,30,491,82.4477,67.0000,100
DGWO,1,350,30,492,82.4477,67.0000,100
DGWO,1,350,30,493,82.4477,67.0000,100
DGWO,1,350,30,494,82.4477,67.0000,100
DGWO,1,350,30,495,82.4477,67.0000,100
DGWO,1,350,30,496,82.4477,67.0000,100
DGWO,1,350,30,497,82.4477,67.0000,100
DGWO,1,350,30,498,82.4477,67.0000,100
DGWO,1,350,30,499,82.4477,67.0000,100
DGWO,1,350,30,500,82.4477,67.0000,100
